<<<<<<< HEAD
79
=======
Time: 1675253367.563194HR: 104
Time: 1675253417.6971989  HR: 118
Time: 1675253422.714797  HR: 120
Time: 1675253427.7243233  HR: 66
Time: 1675253432.7357574  HR: 55
Time: 1675253437.7382917  HR: 55
Time: 1675253442.7457683  HR: 57
Time: 1675253447.7527127  HR: 71
Time: 1675253452.7564373  HR: 89
Time: 1675253457.7653747  HR: 52
Time: 1675253462.7675266  HR: 98
>>>>>>> 32b7bed476eae7fb77aa7826ca5eddc9d6284b40
Time: 1675255731.2803333  HR: 95
Time: 1675255748.990628  HR: 104
Time: 1675255846.9725876  HR: 120
Time: 1675525093.8823934  HR: 83
Time: 1675525483.5445852  HR: 67
Time: 1675525488.6469092  HR: 52
